subject,implant,electrode,task,stim_type,stim_dur,stim_freq,stim_amp,pulse_type,pulse_dur,pulse_num,interphase_dur,delay_dur,ref_stim_type,ref_freq,ref_amp,ref_amp_factor,ref_pulse_dur,ref_interphase_dur,theta,source
S05,ArgusI,C3,threshold,single_pulse,0.2,,179.79275457184326,cathodic_first,7.5e-05,1.0,7.5e-05,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,97.39168913590723,cathodic_first,0.00015,1.0,0.00015,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,64.690442704251,cathodic_first,0.00022,1.0,0.00022,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,33.03917114198515,cathodic_first,0.00053,1.0,0.00053,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,29.333355116487457,cathodic_first,0.00075,1.0,0.00075,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,24.72130314516129,cathodic_first,0.00095,1.0,0.00095,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,18.34451129415489,cathodic_first,0.002,1.0,0.002,,,,,,,,110.3,fig_3
S05,ArgusI,C3,threshold,single_pulse,0.2,,14.649325176468814,cathodic_first,0.004,1.0,0.004,,,,,,,,110.3,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,86.58250943452768,cathodic_first,7.5e-05,1.0,7.5e-05,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,51.16361041172639,cathodic_first,0.00015,1.0,0.00015,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,38.50683557582357,cathodic_first,0.00022,1.0,0.00022,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,25.109268143037216,cathodic_first,0.00053,1.0,0.00053,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,21.029889457789977,cathodic_first,0.00075,1.0,0.00075,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,22.921986843631093,cathodic_first,0.00095,1.0,0.00095,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,15.532262275182712,cathodic_first,0.002,1.0,0.002,,,,,,,,10.0,fig_3
S06,ArgusI,A1,threshold,single_pulse,0.2,,16.997407917836632,cathodic_first,0.004,1.0,0.004,,,,,,,,10.0,fig_3
S05,ArgusI,B3,threshold,single_pulse,0.2,,208.826232533806,cathodic_first,7.5e-05,1.0,7.5e-05,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,125.12908798870949,cathodic_first,0.00015,1.0,0.00015,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,69.97245057817588,cathodic_first,0.00022,1.0,0.00022,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,48.19545597041189,cathodic_first,0.00053,1.0,0.00053,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,37.9117321763339,cathodic_first,0.00075,1.0,0.00075,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,34.09405619168403,cathodic_first,0.00095,1.0,0.00095,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,27.25449939636843,cathodic_first,0.002,1.0,0.002,,,,,,,,143.0,fig_s2.1
S05,ArgusI,B3,threshold,single_pulse,0.2,,21.510001800612716,cathodic_first,0.004,1.0,0.004,,,,,,,,143.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,231.46460288432988,cathodic_first,7.5e-05,1.0,7.5e-05,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,96.85259046699964,cathodic_first,0.00015,1.0,0.00015,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,64.23793334943639,cathodic_first,0.00022,1.0,0.00022,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,33.58197188912638,cathodic_first,0.00053,1.0,0.00053,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,23.452415884647934,cathodic_first,0.00075,1.0,0.00075,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,24.452538099558147,cathodic_first,0.00095,1.0,0.00095,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,16.940918229028373,cathodic_first,0.002,1.0,0.002,,,,,,,,14.0,fig_s2.1
S05,ArgusI,C2,threshold,single_pulse,0.2,,11.46668314921733,cathodic_first,0.004,1.0,0.004,,,,,,,,14.0,fig_s2.1
S06,ArgusI,B1,threshold,single_pulse,0.2,,124.04947730672323,cathodic_first,7.5e-05,1.0,7.5e-05,,,,,,,,50.05,fig_s2.1
S06,ArgusI,B1,threshold,single_pulse,0.2,,71.76388521018433,cathodic_first,0.00015,1.0,0.00015,,,,,,,,50.05,fig_s2.1
S06,ArgusI,B1,threshold,single_pulse,0.2,,55.525320441777325,cathodic_first,0.00022,1.0,0.00022,,,,,,,,50.05,fig_s2.1
S06,ArgusI,B1,threshold,single_pulse,0.2,,36.05263108589735,cathodic_first,0.00053,1.0,0.00053,,,,,,,,50.05,fig_s2.1
S06,ArgusI,B1,threshold,single_pulse,0.2,,33.33289773232775,cathodic_first,0.00075,1.0,0.00075,,,,,,,,50.05,fig_s2.1
